Cafe Name,Location,Opening Time,Closing Time,Coffee Rating,WiFi Rating,Socket Availability
kaushal,University Road,9 am,10 pm,☕☕,💪💪💪💪,🔌🔌🔌🔌
Twinkle,University Road,9 am,10 pm,☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
Twinkle,University Road,9 am,10 pm,☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
CCD,"Rajkot,Gujarat",9 am,10 pm,☕☕☕☕,💪💪💪💪,🔌🔌🔌🔌
Fun Blast,University Road,9 am,10 pm,☕☕☕,✘,🔌🔌🔌🔌
Leo,University Road,9 am,10 pm,☕☕☕,💪💪💪,🔌🔌🔌🔌
lion,University Road,9 am,10 pm,☕☕☕☕☕,💪💪💪,🔌🔌🔌🔌🔌
Yash ,"https://www.google.com/maps/place/YASH+GHUGHRA/@22.2858719,70.7563112,14.44z/data=!4m5!3m4!1s0x0:0x6ad270dd8fd7cd75!8m2!3d22.2869174!4d70.7571298",9 am,10 pm,☕☕,💪,🔌🔌🔌🔌🔌
Fantastic Four,University Road,9 am,10 pm,☕☕,💪💪,🔌🔌🔌
Yaro ki Yari,"Rajkot,Gujarat",9 am,10 pm,☕☕☕,💪💪💪,🔌🔌🔌🔌
Pn,University Road,9 am,10 pm,☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
KN,University Road,9 am,10 pm,☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌
KN,University Road,9 am,10 pm,☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌
